Recovery Point Objective (RPO) primarily expresses:	The maximum tolerable data loss measured in time	RPO defines how much data the organization can afford to lose; it drives backup frequency.
Recovery Time Objective (RTO) primarily expresses:	The maximum acceptable time to restore a process after disruption	RTO is about time to resume service, not amount of data loss.
Maximum Tolerable Downtime (MTD) represents:	The longest outage duration the organization can absorb without unacceptable harm	MTD caps acceptable outage length; RTO should be less than or equal to MTD.
A Business Impact Analysis (BIA) is used to:	Identify critical processes, impacts of disruption, and continuity priorities	BIA informs RTO/RPO and recovery strategies.
Risk appetite is best described as:	The amount and type of risk the organization is willing to pursue or retain	Appetite is strategic; tolerance is often operational thresholds within appetite.
Risk avoidance means:	Eliminating the risk source or not engaging in the risky activity	Avoidance removes exposure (e.g., not storing certain data).
Transferring risk to an insurer is an example of:	Risk transference	Transfer shifts financial impact; residual operational risk may remain.
Accepting risk typically requires:	Documented sign-off when treatment cost exceeds benefit or risk is within appetite	Acceptance is conscious, not silent neglect.
A Key Risk Indicator (KRI) is used to:	Provide early signal that risk may be approaching unacceptable levels	KRIs differ from KPIs: KRIs focus on risk exposure trends.
The primary purpose of a risk register is to:	Record identified risks, assessments, owners, and treatment status	Registers enable tracking; they do not eliminate uncertainty.
A security policy differs from a procedure in that a policy:	States management intent and requirements at a high level	Procedures are step-by-step; policies set direction.
Standards in security documentation typically:	Define mandatory controls or requirements that must be met	Standards are more specific than policies; baselines often implement standards.
Guidelines are best characterized as:	Recommended practices that allow flexibility where strict rules are impractical	Guidelines are advisory; policies/standards can be mandatory.
Separation of duties helps prevent fraud because:	No single person can complete and conceal a sensitive transaction alone	SoD pairs with least privilege and monitoring.
Mandatory vacation can detect wrongdoing because:	It forces coverage and review of another employee’s work	It is a detective compensating control in some environments.
Job rotation primarily supports:	Reducing collusion risk and cross-training while exposing irregularities	Rotation complements SoD and succession planning.
Due diligence in vendor selection typically includes:	Assessing security, financial stability, and compliance before contracting	Due diligence is investigation before commitment; due care is ongoing reasonableness.
A right-to-audit clause in a contract allows:	The customer to assess the vendor’s controls relevant to the service	Supports supply chain assurance; scope and frequency are negotiated.
Shared responsibility in cloud means:	The provider and customer each own specific security obligations	Customers retain duties like identity, data, and configuration.
A Business Continuity Plan (BCP) focuses on:	Maintaining or restoring business operations across many scenarios	DRP is often a subset focused on IT recovery; BCP is broader.
A Disaster Recovery Plan (DRP) most directly addresses:	Restoring IT systems and infrastructure after a major disruption	DRP supports RTO/RPO for technology services.
Crisis management differs from routine IR in that it:	Coordinates executive communications, stakeholders, and reputation during major events	Crisis comms align with legal/PR; technical IR handles containment.
Legal hold on records:	Suspends normal deletion when litigation or investigation is reasonably anticipated	Hold overrides retention schedules until released by legal.
Chain of custody for evidence requires:	Documented handling to preserve admissibility and integrity	Breaks in chain weaken forensic/legal use.
Fair information practice principles emphasize:	Collection limitation, purpose specification, and use limitation	Privacy frameworks align with transparency and accountability.
Data minimization in privacy means:	Collecting only what is necessary for the stated purpose	Reduces exposure and supports GDPR-style principles.
The purpose limitation principle requires:	Using personal data only for purposes disclosed at collection (unless permitted)	Supports lawful processing and user expectations.
Accountability in privacy programs means:	Demonstrating compliance through policies, records, and governance	Accountability needs evidence—not just intent.
A steering committee for security often:	Aligns security initiatives with business priorities and resources	Governance forums approve strategy and major exceptions.
The CISO typically should report to:	Leadership with authority and visibility (often CEO or board committee), not only IT	Independence reduces conflicts; reporting lines vary by org.
COSO is commonly associated with:	Internal control frameworks for governance and risk oversight	COSO supports Sarbanes-Oxley control environments in many firms.
COBIT helps organizations:	Govern and manage IT to deliver value while managing risk	COBIT maps goals, processes, and controls for IT governance.
ISO/IEC 27001 specifies requirements for:	An information security management system (ISMS)	Certification is against 27001; 27002 provides control guidance.
The NIST Cybersecurity Framework Core includes:	Functions such as Identify, Protect, Detect, Respond, Recover	The CSF is voluntary guidance widely adopted for program structure.
PCI DSS applies to organizations that:	Store, process, or transmit cardholder data	Scope reduction and segmentation are key compliance strategies.
HIPAA Security Rule requirements apply to:	Covered entities and business associates handling electronic PHI	BA agreements define subprocessors and safeguards.
GDPR lawful bases for processing include:	Consent, contract, legal obligation, vital interests, public task, and legitimate interests (where applicable)	Controllers must document basis and inform data subjects.
SOX IT controls are relevant because:	They support reliability of financial reporting and IT general controls	SOX focuses on financial statement integrity.
Export controls and sanctions programs require:	Screening transactions and technology transfers against restricted parties and destinations	Violations can be criminal; compliance programs mitigate.
Intellectual property protection in security governance includes:	Access controls, NDAs, and classification to reduce theft and misuse	Legal + technical controls together.
Enterprise Risk Management (ERM) aims to:	View risk holistically across the organization rather than in silos	ERM supports portfolio thinking and capital allocation.
A compensating control is used when:	Primary controls cannot be implemented but equivalent mitigation exists	Common in PCI when exact controls are infeasible.
Residual risk should be:	Explicitly accepted or treated after controls—with ownership	Unowned residual risk is a governance failure.
Inherent risk is:	Risk before considering controls	Compare to residual after controls.
Qualitative risk ratings often use:	Ordinal scales (e.g., high/medium/low) with expert input	Faster than full quantitative models for prioritization.
Quantitative risk analysis may use:	ALE estimates and simulation to express risk in monetary terms	Requires credible data; not always available.
Monte Carlo simulation in risk analysis:	Models many scenarios using probability distributions	Useful for aggregate loss and uncertainty ranges.
Sensitivity analysis helps:	See which inputs most affect outcomes	Supports prioritizing data collection and control investment.
Cost-benefit analysis for controls compares:	Reduction in risk or loss against implementation and operating cost	Supports proportionality.
A third-party risk program should scale assessment to:	The sensitivity of data and criticality of the service	Not all vendors need the same depth.
Subprocessor changes by a cloud vendor should trigger:	Contractual notification and customer review where required	GDPR and enterprise contracts often address subprocessors.
